192.168.0.61 - - [08/Nov/2021:10:36:30 +0000] "GET / HTTP/1.1" 200 298 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:41:36 +0000] "GET / HTTP/1.1" 200 149 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:41:57 +0000] "GET / HTTP/1.1" 200 866 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:45:09 +0000] "GET / HTTP/1.1" 200 313 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:45:14 +0000] "GET / HTTP/1.1" 200 313 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:05 +0000] "GET / HTTP/1.1" 200 881 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:06 +0000] "GET / HTTP/1.1" 200 881 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:07 +0000] "GET / HTTP/1.1" 200 881 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:07 +0000] "GET / HTTP/1.1" 200 881 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:07 +0000] "GET / HTTP/1.1" 200 881 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:07 +0000] "GET / HTTP/1.1" 200 881 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:08 +0000] "GET / HTTP/1.1" 200 881 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:08 +0000] "GET / HTTP/1.1" 200 881 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:08 +0000] "GET / HTTP/1.1" 200 881 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:26 +0000] "GET / HTTP/1.1" 200 881 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:27 +0000] "GET / HTTP/1.1" 200 881 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:45 +0000] "GET / HTTP/1.1" 200 313 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:46 +0000] "GET / HTTP/1.1" 200 313 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:46 +0000] "GET / HTTP/1.1" 200 313 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
192.168.0.61 - - [08/Nov/2021:10:46:46 +0000] "GET / HTTP/1.1" 200 313 "-" "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/95.0.4638.69 Safari/537.36"
